SDSS Name P_orb P_orb_err K K_err M_wd M_wd_err dist_wd Sp2 n_Sp2 dist_2 M_2 M_2_err K_wd K_wd_err
J131334.74+023750.7 1313+0237 22.3191600 0.0004500 83.8 3.1 0.67 0.06 373 4.0 - 408 0.32 0.09 39 11
J131632.04-003758.0 1316-0037 9.6600000 0.0200000 195.5 3.9 - - - 3.0 - 394 0.38 0.07 - -
J134841.61+183410.5 1348+1834 5.9620000 0.0010000 222.0 3.8 0.59 0.02 180 4.0 - 236 0.32 0.09 120 34
J135228.14+091039.0 1352+0910 8.2950000 0.0260000 57.1 3.4 0.45 0.04 856 - ** - - - - -
J141134.70+102839.7 1411+1028 4.0160000 0.0050000 168.3 4.3 0.54 0.08 829 3.0 - 1491 0.38 0.07 118 27
J142951.19+575949.0 1429+5759 13.0848600 0.0002200 140.5 3.9 1.07 0.13 329 3.0 - 632 0.38 0.07 49 11
J143443.24+533521.2 1434+5335 104.5622000 0.0073000 80.0 1.6 0.49 0.02 153 4.0 - 286 0.32 0.09 52 14
J143642.01+574146.3 1436+5741 20.7378400 0.0007100 120.4 2.3 - - - 3.0 - 511 0.38 0.07 - -
J143746.70+573706.0 1437+5737 20.1336900 0.0003800 65.2 6.2 0.78 0.09 319 4.0 - 323 0.32 0.09 26 8
J143947.62-010606.9 1439-0106 36.5426000 0.0014000 37.7 2.9 0.81 0.09 383 0.0 - 826 0.47 0.00 21 2
J150657.58-012021.7 1506-0120 25.2235500 0.0003900 134.6 4.5 0.45 0.09 498 4.0 - 526 0.32 0.09 95 33
J151921.72+353625.8 1519+3536 32.8100000 0.3200000 65.2 2.3 0.57 0.03 165 6.0 - 153 0.20 0.08 22 9
J152359.22+460448.9 1523+4604 9.9317000 0.0051000 202.5 1.9 0.78 0.06 76 7.0 - 73 0.15 0.07 38 18
J152425.21+504009.7 1524+5040 14.1511670 0.0000360 167.5 2.3 0.70 0.04 212 3.0 - 336 0.38 0.07 90 17
J152821.45+344314.9 1528+3443 33.8700000 0.2300000 112.5 2.8 0.56 0.07 554 4.0 - 449 0.32 0.09 64 19
J155808.49+264225.7 1558+2642 15.9016000 0.0056000 146.7 3.4 1.06 0.31 283 4.0 - 320 0.32 0.09 44 17
J155904.62+035623.4 1559+0356 2.2662000 0.0012000 84.3 2.7 0.68 0.09 838 - ** - - - - -
J160821.47+085149.9 1608+0851 9.9360000 0.0250000 172.0 4.2 0.98 0.08 129 6.0 - 201 0.20 0.08 34 14
J161145.88+010327.8 1611+0103 7.2922000 0.0056000 87.2 9.6 0.49 0.10 230 6.0 - 192 0.20 0.08 34 15
J161113.13+464044.2 1611+4640 1.9767800 0.0004800 273.4 3.9 0.63 0.06 124 5.0 - 274 0.25 0.12 110 52
J162354.45+630640.4 1623+6306 53.5624000 0.0034000 74.0 3.2 1.00 0.09 179 4.0 - 335 0.32 0.09 23 6
J162552.91+640024.9 1625+6400 5.2377160 0.0000540 100.5 5.2 0.79 0.10 155 6.0 - 212 0.20 0.08 24 10
J164615.60+422349.2 1646+4223 38.2900000 0.2100000 102.9 2.0 0.53 0.06 399 5.0 - 300 0.25 0.12 49 23
J170509.65+210904.4 1705+2109 19.5670000 0.0610000 94.8 3.2 0.52 0.04 382 5.0 - 276 0.25 0.12 46 22
J171810.15+610114.0 1718+6101 16.1550000 0.0440000 82.8 3.1 0.53 0.06 338 4.0 - 464 0.32 0.09 49 15
J173101.49+623315.9 1731+6233 6.4326000 0.0059000 152.6 4.9 0.34 0.04 422 4.0 - 479 0.32 0.09 143 43
J184412.58+412029.4 1844+4120 5.4166000 0.0010000 147.2 3.1 0.34 0.02 73 6.0 - 58 0.20 0.08 84 35
J204541.90-050925.7 2045-0509 23.5315200 0.0008400 31.1 2.7 0.49 0.07 776 3.0 - 855 0.38 0.07 24 5
J211205.31+101427.9 2112+1014 2.2152000 0.0001000 - - 1.06 0.05 206 6.0 - 199 0.20 0.08 - -
J211428.41-010357.2 2114-0103 9.8550000 0.0140000 136.3 2.1 0.70 0.07 547 3.0 - 591 0.38 0.07 73 15
J212051.92-005827.3 2120-0058 10.7754000 0.0026000 57.7 2.9 0.64 0.04 218 4.0 - 316 0.32 0.09 28 8
J212320.74+002455.5 2123+0024 3.5835000 0.0074000 149.3 6.2 0.31 0.07 561 6.0 - 332 0.20 0.08 94 43
J213218.11+003158.8 2132+0031 5.3336000 0.0026000 181.4 3.6 0.39 0.03 343 4.0 - 530 0.32 0.09 148 43
J214952.27-071756.9 2149-0717 15.4530000 0.0110000 100.7 0.9 0.68 0.02 144 2.0 - 220 0.44 0.11 64 1
J215614.57-000237.4 2156-0002 12.0701500 0.0002500 94.7 2.6 - - - 6.0 - 177 0.20 0.08 - -
J220848.99+122144.7 2208+1221 45.6700000 0.1500000 69.5 1.4 1.24 0.13 383 - ** - - - - -
J221616.59+010205.6 2216+0102 5.0487000 0.0051000 193.6 4.0 0.41 0.14 229 5.0 - 360 0.25 0.12 120 70
J224038.37-093541.4 2240-0935 6.2541000 0.0027000 160.7 1.9 0.41 0.06 210 5.0 - 231 0.25 0.12 99 49
J224307.59+312239.1 2243+3122 2.8703000 0.0059000 184.6 5.6 - - - 5.0 - 171 0.25 0.12 - -
J231105.66+220208.6 2311+2202 13.9224000 0.0017000 114.8 2.7 1.23 0.05 115 3.0 - 474 0.38 0.07 35 6
J231825.23-093539.1 2318-0935 60.8094000 0.0027000 98.2 3.1 0.50 0.05 460 3.0 - 791 0.38 0.07 74 15
